30253,Бодайбо ,57.87,114.23,274,38
30309,Братск,56.28,101.75,411,38
30328,Орлинга,56.05,105.83,338,38
30337,Казачинское,56.32,107.62,355,38
30356,Таксимо,56.38,114.83,513,3
30372,Чара,56.9,118.27,709,75
30385,Усть-Нюкжа,56.58,121.5,440,28
30393,Чульман ,56.83,124.87,855,14
30433,Нижнеангарск,55.78,109.58,477,3
30437,Карам,55.15,107.62,495,38
30469,Калакан ,55.12,116.77,612,75
30471,Средний Калар,55.87,117.37,748,75
30484,Средняя Олекма,55.43,120.55,526,75
30493,Нагорный,55.95,124.92,845,14
30504,Тулун,54.6,100.63,523,38
30521,Жигалово,54.8,105.17,417,38
30536,Баргузинский заповедник,54.33,109.53,468,3
30554,Багдарин,54.43,113.58,901,3
30555,Троицкий Прииск,54.58,113.15,1315,3
30565,Усть-Каренга,54.43,116.53,686,75
30612,Балаганск,54.0,103.07,428,38
30627,Баяндай,53.1,105.53,757,38
30632,Большой Ушканий о-в,53.85,108.58,458,3
30635,Усть-Баогузин,53.42,109.02,459,3
30636,Баргузин,53.62,109.63,488,3
30650,Романовка,53.2,112.78,920,3
30673,Могоча,53.75,119.73,624,75
30692,Сковородино,54.0,123.97,397,28
30695,Джалинда,53.47,123.9,266,28
30703,Инга,52.97,101.98,541,38
30710,Иркутск-обсерватория,52.27,104.32,467,38
30716,Хомутово,52.47,104.37,453,38
30727,Большое Голоустное,52.03,105.42,461,38
30745,Сосново-Озерское,52.53,111.55,952,3
30758,Чита,52.08,113.48,671,75
30777,Сретенск,52.23,117.7,528,75
30811,Тунка,51.73,102.53,720,3
30815,Хамар-Дабан,51.53,103.6,1442,38
30822,Бабушкин,51.7,105.85,466,3
30823,Улан-Удэ,51.83,107.6,514,3
30825,Иволгинск,51.75,107.27,562,3
30844,Хилок,51.37,110.47,800,75
30859,Агинское,51.1,114.52,680,75
30879,Нерчинский завод,51.32,119.62,621,75
30915,Цакир,50.43,103.6,984,3
30925,Кяхта,50.37,106.45,791,3
30935,Красный Чикой,50.37,108.75,770,75
30949,Кыра,49.57,111.97,907,75
30954,Мангут,49.7,112.67,807,75
30965,Борзя,50.4,116.52,675,75
31004,Алдан,58.6,125.38,678,14
31026,Учур,58.73,130.62,194,14
31062,Югоренок,59.77,137.67,380,14
31088,Охотск,59.37,143.2,5,27
31092,Талон,59.77,148.63,19,49
31102,Канку,57.65,125.97,1204,14
31137,Токо,56.28,131.13,849,14
